tik,uik,voters,turnout,putin,stationary,cam,marked,gaps
TIK-17,562,1890,96%,71%,1851,c1,yes,
TIK-17,562,1890,96%,71%,1851,c2,yes,
TIK-17,531,1905,94%,83%,1709,c1,yes,
TIK-17,531,1905,94%,83%,1709,c2,yes,
TIK-2,137,1298,92%,66%,1278,c1,yes,
TIK-2,137,1298,92%,66%,1278,c2,yes,
TIK-9,1798,1551,87%,68%,1478,c1,yes,
TIK-9,1798,1551,87%,68%,1478,c2,yes,
TIK-17,571,876,87%,60%,870,c1,yes,
TIK-17,571,876,87%,60%,870,c2,yes,
TIK-11,482,1910,86%,73%,1876,c1,yes,
TIK-11,482,1910,86%,73%,1876,c2,yes,
TIK-23,2041,1403,86%,68%,1370,c1,,
TIK-23,2041,1403,86%,68%,1370,c2,,
TIK-14,290,1455,85%,65%,1325,c1,yes,
TIK-14,290,1455,85%,65%,1325,c2,yes,
TIK-3,592,875,84%,62%,867,c1,yes,
TIK-3,592,875,84%,62%,867,c2,yes,
TIK-17,561,1606,84%,62%,1552,c1,yes,
TIK-17,561,1606,84%,62%,1552,c2,yes,
TIK-4,931,1457,83%,61%,1384,c1,yes,
TIK-4,931,1457,83%,61%,1384,c2,yes,
TIK-2,171,1133,82%,58%,1100,c1,yes,
TIK-2,171,1133,82%,58%,1100,c2,,
TIK-23,2075,1219,82%,63%,1205,c1,yes,
TIK-23,2075,1219,82%,63%,1205,c2,yes,
TIK-11,479,1756,81%,58%,1665,c1,yes,
TIK-11,479,1756,81%,58%,1665,c2,yes,
TIK-12,1780,1720,81%,66%,1698,c1,yes,
TIK-12,1780,1720,81%,66%,1698,c2,yes,
TIK-14,300,1439,81%,63%,1435,c1,yes,
TIK-14,300,1439,81%,63%,1435,c2,yes,
TIK-17,570,970,81%,56%,883,c1,yes,
TIK-17,570,970,81%,56%,883,c2,yes,
TIK-22,396,1527,81%,61%,1477,c1,,
TIK-22,396,1527,81%,61%,1477,c2,yes,
TIK-8,1723,618,80%,60%,599,c1,yes,
TIK-8,1723,618,80%,60%,599,c2,yes,
TIK-11,431,1373,80%,60%,1316,c1,yes,
TIK-11,431,1373,80%,60%,1316,c2,,
TIK-14,259,1593,80%,60%,1563,c1,yes,
TIK-14,259,1593,80%,60%,1563,c2,yes,
TIK-15,1238,729,80%,62%,715,c1,,
TIK-15,1238,729,80%,62%,715,c2,yes,
TIK-17,537,1869,80%,64%,1828,c1,yes,
TIK-17,537,1869,80%,64%,1828,c2,yes,
TIK-18,1613,1008,80%,60%,955,c1,yes,
TIK-18,1613,1008,80%,60%,955,c2,yes,
TIK-19,1349,2093,80%,64%,2013,c1,yes,
TIK-19,1349,2093,80%,64%,2013,c2,yes,
TIK-22,382,1383,80%,55%,1209,c1,yes,
TIK-22,382,1383,80%,55%,1209,c2,yes,
TIK-22,394,982,80%,61%,952,c1,yes,
TIK-22,394,982,80%,61%,952,c2,yes,
TIK-22,397,1952,80%,59%,1929,c1,,
TIK-22,397,1952,80%,59%,1929,c2,,
TIK-29,2172,1350,80%,69%,1144,c1,yes,
TIK-29,2172,1350,80%,69%,1144,c2,yes,
TIK-8,1676,1383,79%,61%,1365,c1,yes,
TIK-8,1676,1383,79%,61%,1365,c2,yes,
TIK-14,255,1507,79%,58%,1473,c1,yes,
TIK-14,255,1507,79%,58%,1473,c2,yes,
TIK-17,572,1603,79%,52%,1593,c1,yes,
TIK-17,572,1603,79%,52%,1593,c2,,
TIK-17,574,1266,79%,58%,1261,c1,yes,
TIK-17,574,1266,79%,58%,1261,c2,yes,
TIK-22,334,1686,79%,63%,1666,c1,yes,
TIK-22,334,1686,79%,63%,1666,c2,yes,
TIK-25,1023,1379,79%,60%,1346,c1,yes,
TIK-25,1023,1379,79%,60%,1346,c2,yes,
TIK-2,104,1231,78%,51%,1003,c1,yes,
TIK-2,104,1231,78%,51%,1003,c2,yes,
TIK-2,132,1359,78%,55%,1233,c1,yes,
TIK-2,132,1359,78%,55%,1233,c2,yes,
TIK-11,435,1263,78%,58%,1215,c1,yes,
TIK-11,435,1263,78%,58%,1215,c2,yes,
TIK-11,444,1274,78%,63%,1246,c1,yes,
TIK-11,444,1274,78%,63%,1246,c2,yes,
TIK-14,260,918,78%,60%,899,c1,yes,
TIK-14,260,918,78%,60%,899,c2,yes,
TIK-14,294,1235,78%,61%,1178,c1,yes,
TIK-14,294,1235,78%,61%,1178,c2,yes,
TIK-20,2006,1562,78%,61%,1561,c1,yes,
TIK-20,2006,1562,78%,61%,1561,c2,yes,
TIK-22,392,1559,78%,58%,1538,c1,,
TIK-22,392,1559,78%,58%,1538,c2,yes,
TIK-23,2060,1064,78%,58%,1030,c1,yes,
TIK-23,2060,1064,78%,58%,1030,c2,yes,
TIK-25,1002,1526,78%,60%,1505,c1,yes,
TIK-25,1002,1526,78%,60%,1505,c2,yes,
TIK-2,149,1349,77%,52%,1303,c1,yes,
TIK-2,149,1349,77%,52%,1303,c2,,
TIK-4,932,1293,77%,58%,1205,c1,yes,
TIK-4,932,1293,77%,58%,1205,c2,yes,
TIK-9,1820,1004,77%,58%,944,c1,yes,
TIK-9,1820,1004,77%,58%,944,c2,yes,
TIK-11,432,1333,77%,55%,1305,c1,yes,
TIK-11,432,1333,77%,55%,1305,c2,yes,
TIK-14,252,1554,77%,54%,1530,c1,,
TIK-14,252,1554,77%,54%,1530,c2,yes,
TIK-14,256,1347,77%,57%,1339,c1,yes,
TIK-14,256,1347,77%,57%,1339,c2,yes,
TIK-14,257,919,77%,57%,899,c1,yes,
TIK-14,257,919,77%,57%,899,c2,yes,
TIK-18,1636,1417,77%,62%,1403,c1,,
TIK-18,1636,1417,77%,62%,1403,c2,yes,
TIK-18,1642,867,77%,52%,853,c1,,
TIK-18,1642,867,77%,52%,853,c2,yes,
TIK-22,345,1428,77%,52%,1372,c1,yes,
TIK-22,345,1428,77%,52%,1372,c2,yes,
TIK-29,2130,1277,77%,63%,1230,c1,yes,
TIK-29,2130,1277,77%,63%,1230,c2,,
TIK-4,925,1385,76%,54%,1342,c1,yes,
TIK-4,925,1385,76%,54%,1342,c2,yes,
TIK-4,948,930,76%,55%,861,c1,yes,
TIK-4,948,930,76%,55%,861,c2,,
TIK-9,1797,1225,76%,56%,1151,c1,yes,
TIK-9,1797,1225,76%,56%,1151,c2,yes,
TIK-10,203,549,76%,59%,547,c1,,
TIK-10,203,549,76%,59%,547,c2,yes,
TIK-10,231,1138,76%,55%,1113,c1,yes,
TIK-10,231,1138,76%,55%,1113,c2,yes,
TIK-14,263,1469,76%,56%,1420,c1,yes,
TIK-14,263,1469,76%,56%,1420,c2,yes,
TIK-14,285,1382,76%,57%,1340,c1,,
TIK-14,285,1382,76%,57%,1340,c2,yes,
TIK-14,296,588,76%,58%,559,c1,,
TIK-14,296,588,76%,58%,559,c2,yes,
TIK-14,301,1361,76%,58%,1352,c1,yes,
TIK-14,301,1361,76%,58%,1352,c2,yes,
TIK-22,349,1132,76%,45%,1060,c1,yes,
TIK-22,349,1132,76%,45%,1060,c2,yes,
TIK-25,1003,1459,76%,58%,1344,c1,yes,
TIK-25,1003,1459,76%,58%,1344,c2,yes,
TIK-2,152,1212,75%,54%,1172,c1,yes,
TIK-2,152,1212,75%,54%,1172,c2,,
TIK-11,414,1519,75%,49%,1499,c1,yes,
TIK-11,414,1519,75%,49%,1499,c2,yes,
TIK-11,481,1806,75%,61%,1771,c1,yes,
TIK-11,481,1806,75%,61%,1771,c2,yes,
TIK-14,253,1664,75%,54%,1633,c1,yes,
TIK-14,253,1664,75%,54%,1633,c2,yes,
TIK-14,266,1431,75%,57%,1407,c1,yes,
TIK-14,266,1431,75%,57%,1407,c2,yes,
TIK-14,295,748,75%,60%,706,c1,yes,
TIK-14,295,748,75%,60%,706,c2,yes,
TIK-17,524,1388,75%,61%,1362,c1,yes,
TIK-17,524,1388,75%,61%,1362,c2,yes,
TIK-17,535,1599,75%,62%,1527,c1,yes,
TIK-17,535,1599,75%,62%,1527,c2,yes,
TIK-17,557,1349,75%,54%,1306,c1,yes,
TIK-17,557,1349,75%,54%,1306,c2,yes,
TIK-18,1612,1323,75%,56%,1285,c1,yes,
TIK-18,1612,1323,75%,56%,1285,c2,yes,
TIK-20,1949,1589,75%,56%,1548,c1,yes,
TIK-20,1949,1589,75%,56%,1548,c2,yes,
TIK-20,2008,1803,75%,62%,1770,c1,yes,
TIK-20,2008,1803,75%,62%,1770,c2,yes,
TIK-20,2009,1637,75%,60%,1582,c1,yes,
TIK-20,2009,1637,75%,60%,1582,c2,yes,
TIK-22,353,1014,75%,53%,992,c1,yes,
TIK-22,353,1014,75%,53%,992,c2,yes,
TIK-22,379,1137,75%,57%,1094,c1,yes,
TIK-22,379,1137,75%,57%,1094,c2,yes,
TIK-24,1597,1907,75%,58%,1845,c1,yes,
TIK-24,1597,1907,75%,58%,1845,c2,yes,
TIK-25,1025,1173,75%,57%,1135,c1,yes,
TIK-25,1025,1173,75%,57%,1135,c2,yes,
TIK-29,2122,1860,75%,59%,1753,c1,yes,
TIK-29,2122,1860,75%,59%,1753,c2,,
TIK-29,2128,1571,75%,56%,1478,c1,yes,
TIK-29,2128,1571,75%,56%,1478,c2,yes,
TIK-1,58,980,74%,55%,963,c1,yes,
TIK-1,58,980,74%,55%,963,c2,yes,
TIK-2,159,1002,74%,54%,947,c1,yes,
TIK-2,159,1002,74%,54%,947,c2,,
TIK-2,164,1324,74%,55%,1295,c1,yes,
TIK-2,164,1324,74%,55%,1295,c2,yes,
TIK-9,1808,1627,74%,57%,1542,c1,yes,
TIK-9,1808,1627,74%,57%,1542,c2,yes,
TIK-11,430,1502,74%,55%,1451,c1,yes,
TIK-11,430,1502,74%,55%,1451,c2,yes,
TIK-11,484,1523,74%,61%,1487,c1,,
TIK-11,484,1523,74%,61%,1487,c2,,
TIK-11,487,1370,74%,60%,1304,c1,yes,
TIK-11,487,1370,74%,60%,1304,c2,yes,
TIK-11,490,1433,74%,60%,1402,c1,yes,
TIK-11,490,1433,74%,60%,1402,c2,yes,
TIK-12,1760,1880,74%,61%,1748,c1,,
TIK-12,1760,1880,74%,61%,1748,c2,yes,
TIK-12,1761,1520,74%,62%,1413,c1,yes,
TIK-12,1761,1520,74%,62%,1413,c2,yes,
TIK-14,254,1187,74%,57%,1173,c1,yes,
TIK-14,254,1187,74%,57%,1173,c2,yes,
TIK-14,262,612,74%,54%,602,c1,yes,
TIK-14,262,612,74%,54%,602,c2,yes,
TIK-14,272,1227,74%,58%,1199,c1,yes,
TIK-14,272,1227,74%,58%,1199,c2,yes,
TIK-15,1227,1210,74%,61%,1136,c1,yes,
TIK-15,1227,1210,74%,61%,1136,c2,yes,
TIK-17,529,1289,74%,54%,1260,c1,yes,
TIK-17,529,1289,74%,54%,1260,c2,yes,
TIK-17,544,1484,74%,58%,1377,c1,yes,
TIK-17,544,1484,74%,58%,1377,c2,yes,
TIK-17,555,1506,74%,57%,1474,c1,yes,
TIK-17,555,1506,74%,57%,1474,c2,yes,
TIK-17,563,1704,74%,55%,1674,c1,yes,
TIK-17,563,1704,74%,55%,1674,c2,yes,
TIK-18,1619,1470,74%,56%,1356,c1,yes,
TIK-18,1619,1470,74%,56%,1356,c2,yes,
TIK-20,1970,1171,74%,57%,1099,c1,yes,
TIK-20,1970,1171,74%,57%,1099,c2,yes,
TIK-20,1980,1070,74%,55%,1062,c1,yes,
TIK-20,1980,1070,74%,55%,1062,c2,,
TIK-20,2007,1287,74%,62%,1246,c1,yes,
TIK-20,2007,1287,74%,62%,1246,c2,yes,
TIK-22,352,1035,74%,53%,1004,c1,yes,
TIK-22,352,1035,74%,53%,1004,c2,yes,
TIK-22,364,1152,74%,51%,1101,c1,,
TIK-22,364,1152,74%,51%,1101,c2,yes,
TIK-24,1546,1407,74%,56%,1391,c1,yes,
TIK-24,1546,1407,74%,56%,1391,c2,yes,
TIK-24,1595,1520,74%,59%,1452,c1,yes,
TIK-24,1595,1520,74%,59%,1452,c2,yes,
TIK-25,1005,1304,74%,59%,1283,c1,yes,
TIK-25,1005,1304,74%,59%,1283,c2,yes,
TIK-29,2118,1447,74%,57%,1330,c1,yes,
TIK-29,2118,1447,74%,57%,1330,c2,yes,
TIK-2,154,1433,73%,51%,1381,c1,,
TIK-2,154,1433,73%,51%,1381,c2,yes,
TIK-4,917,1088,73%,53%,1043,c1,yes,
TIK-4,917,1088,73%,53%,1043,c2,yes,
TIK-4,919,1196,73%,54%,1128,c1,yes,
TIK-4,919,1196,73%,54%,1128,c2,yes,
TIK-4,952,1229,73%,54%,1174,c1,yes,
TIK-4,952,1229,73%,54%,1174,c2,yes,
TIK-5,1512,1914,73%,54%,1892,c1,yes,
TIK-5,1512,1914,73%,54%,1892,c2,yes,
TIK-9,1800,1334,73%,50%,1219,c1,yes,
TIK-9,1800,1334,73%,50%,1219,c2,yes,
TIK-9,1806,1229,73%,51%,1147,c1,yes,
TIK-9,1806,1229,73%,51%,1147,c2,yes,
TIK-9,1807,1688,73%,54%,1625,c1,yes,
TIK-9,1807,1688,73%,54%,1625,c2,yes,
TIK-9,1830,722,73%,58%,650,c1,yes,
TIK-9,1830,722,73%,58%,650,c2,yes,
TIK-9,1840,1511,73%,56%,1492,c1,yes,
TIK-9,1840,1511,73%,56%,1492,c2,yes,
TIK-10,244,1344,73%,55%,1297,c1,yes,
TIK-10,244,1344,73%,55%,1297,c2,,
TIK-11,420,1535,73%,56%,1506,c1,yes,
TIK-11,420,1535,73%,56%,1506,c2,yes,
TIK-11,426,1564,73%,56%,1534,c1,yes,
TIK-11,426,1564,73%,56%,1534,c2,,
TIK-11,478,1695,73%,54%,1650,c1,yes,
TIK-11,478,1695,73%,54%,1650,c2,yes,
TIK-11,488,1233,73%,58%,1213,c1,yes,
TIK-11,488,1233,73%,58%,1213,c2,yes,
TIK-14,258,1554,73%,54%,1513,c1,,
TIK-14,258,1554,73%,54%,1513,c2,yes,
TIK-14,264,1559,73%,53%,1527,c1,yes,
TIK-14,264,1559,73%,53%,1527,c2,yes,
TIK-14,271,1079,73%,57%,1063,c1,yes,
TIK-14,271,1079,73%,57%,1063,c2,yes,
TIK-14,276,1617,73%,57%,1591,c1,,
TIK-14,276,1617,73%,57%,1591,c2,yes,
TIK-15,1231,1243,73%,59%,1190,c1,yes,
TIK-15,1231,1243,73%,59%,1190,c2,yes,
TIK-17,545,1052,73%,56%,972,c1,yes,
TIK-17,545,1052,73%,56%,972,c2,yes,
TIK-17,549,1330,73%,55%,1250,c1,yes,
TIK-17,549,1330,73%,55%,1250,c2,yes,
TIK-17,564,1095,73%,55%,1076,c1,yes,
TIK-17,564,1095,73%,55%,1076,c2,yes,
TIK-17,568,1494,73%,51%,1376,c1,yes,
TIK-17,568,1494,73%,51%,1376,c2,yes,
TIK-18,1637,1760,73%,53%,1635,c1,yes,
TIK-18,1637,1760,73%,53%,1635,c2,yes,
TIK-22,335,784,73%,52%,763,c1,,
TIK-22,335,784,73%,52%,763,c2,yes,
TIK-22,346,1063,73%,51%,1015,c1,yes,
TIK-22,346,1063,73%,51%,1015,c2,yes,
TIK-22,350,1599,73%,51%,1562,c1,,
TIK-22,350,1599,73%,51%,1562,c2,,
TIK-22,367,869,73%,50%,838,c1,yes,
TIK-22,367,869,73%,50%,838,c2,yes,
TIK-22,378,1033,73%,50%,1015,c1,yes,
TIK-22,378,1033,73%,50%,1015,c2,yes,
TIK-22,400,1061,73%,54%,1047,c1,yes,
TIK-22,400,1061,73%,54%,1047,c2,yes,
TIK-25,1006,1202,73%,55%,1151,c1,yes,
TIK-25,1006,1202,73%,55%,1151,c2,yes,
TIK-25,1039,1191,73%,54%,1124,c1,yes,
TIK-25,1039,1191,73%,54%,1124,c2,yes,
TIK-25,1040,738,73%,58%,677,c1,yes,
TIK-25,1040,738,73%,58%,677,c2,yes,
TIK-25,976,1459,73%,55%,1433,c1,yes,
TIK-25,976,1459,73%,55%,1433,c2,yes,
TIK-25,993,1453,73%,57%,1408,c1,yes,
TIK-25,993,1453,73%,57%,1408,c2,yes,
TIK-25,997,951,73%,56%,917,c1,yes,
TIK-25,997,951,73%,56%,917,c2,yes,
TIK-27,1376,741,73%,53%,726,c1,yes,
TIK-27,1376,741,73%,53%,726,c2,yes,
TIK-28,1880,1544,73%,54%,1425,c1,,
TIK-28,1880,1544,73%,54%,1425,c2,yes,
TIK-29,2131,1616,73%,58%,1528,c1,yes,
TIK-29,2131,1616,73%,58%,1528,c2,yes,
TIK-1,55,1025,72%,55%,754,c1,yes,
TIK-1,55,1025,72%,55%,754,c2,yes,
TIK-2,155,876,72%,44%,859,c1,yes,
TIK-2,155,876,72%,44%,859,c2,yes,
TIK-3,604,1613,72%,54%,1574,c1,yes,
TIK-3,604,1613,72%,54%,1574,c2,yes,
TIK-4,953,1152,72%,54%,1093,c1,yes,
TIK-4,953,1152,72%,54%,1093,c2,yes,
TIK-8,1715,779,72%,57%,763,c1,yes,
TIK-8,1715,779,72%,57%,763,c2,,
TIK-9,1818,926,72%,54%,912,c1,,
TIK-9,1818,926,72%,54%,912,c2,yes,
TIK-9,1834,1095,72%,55%,1074,c1,yes,
TIK-9,1834,1095,72%,55%,1074,c2,yes,
TIK-10,210,1398,72%,53%,1350,c1,yes,
TIK-10,210,1398,72%,53%,1350,c2,yes,
TIK-10,225,1298,72%,52%,1254,c1,yes,
TIK-10,225,1298,72%,52%,1254,c2,yes,
TIK-11,422,1530,72%,54%,1509,c1,yes,
TIK-11,422,1530,72%,54%,1509,c2,yes,
TIK-11,427,1482,72%,56%,1446,c1,yes,
TIK-11,427,1482,72%,56%,1446,c2,yes,
TIK-11,429,1318,72%,52%,1269,c1,yes,
TIK-11,429,1318,72%,52%,1269,c2,yes,
TIK-11,446,1111,72%,56%,1084,c1,yes,
TIK-11,446,1111,72%,56%,1084,c2,yes,
TIK-11,505,1886,72%,55%,1851,c1,,
TIK-11,505,1886,72%,55%,1851,c2,yes,
TIK-14,269,907,72%,52%,886,c1,yes,
TIK-14,269,907,72%,52%,886,c2,yes,
TIK-14,303,1153,72%,49%,1146,c1,yes,
TIK-14,303,1153,72%,49%,1146,c2,,
TIK-17,553,1111,72%,56%,1080,c1,yes,
TIK-17,553,1111,72%,56%,1080,c2,yes,
TIK-18,1648,900,72%,59%,881,c1,yes,
TIK-18,1648,900,72%,59%,881,c2,,
TIK-18,1662,1579,72%,58%,1551,c1,yes,
TIK-18,1662,1579,72%,58%,1551,c2,yes,
TIK-20,1986,1145,72%,54%,1088,c1,yes,
TIK-20,1986,1145,72%,54%,1088,c2,yes,
TIK-20,1989,1106,72%,54%,976,c1,,
TIK-20,1989,1106,72%,54%,976,c2,yes,
TIK-20,2005,1618,72%,57%,1614,c1,yes,
TIK-20,2005,1618,72%,57%,1614,c2,yes,
TIK-24,1568,1082,72%,58%,1032,c1,yes,
TIK-24,1568,1082,72%,58%,1032,c2,yes,
TIK-24,1604,1633,72%,52%,1485,c1,yes,
TIK-24,1604,1633,72%,52%,1485,c2,yes,
TIK-25,1030,1259,72%,53%,1249,c1,yes,
TIK-25,1030,1259,72%,53%,1249,c2,,
TIK-25,1038,1275,72%,56%,1207,c1,,
TIK-25,1038,1275,72%,56%,1207,c2,yes,
TIK-25,973,1218,72%,58%,1160,c1,yes,
TIK-25,973,1218,72%,58%,1160,c2,yes,
TIK-25,982,1246,72%,56%,1210,c1,yes,
TIK-25,982,1246,72%,56%,1210,c2,,
TIK-28,1892,1486,72%,55%,1457,c1,,
TIK-28,1892,1486,72%,55%,1457,c2,yes,
TIK-1,16,1246,71%,46%,1220,c1,yes,
TIK-1,16,1246,71%,46%,1220,c2,yes,
TIK-1,28,882,71%,53%,716,c1,yes,
TIK-1,28,882,71%,53%,716,c2,yes,
TIK-2,107,997,71%,48%,983,c1,yes,
TIK-2,107,997,71%,48%,983,c2,,
TIK-4,906,1218,71%,51%,1136,c1,yes,
TIK-4,906,1218,71%,51%,1136,c2,yes,
TIK-4,913,1265,71%,54%,1178,c1,yes,
TIK-4,913,1265,71%,54%,1178,c2,,
TIK-4,926,1222,71%,50%,1157,c1,yes,
TIK-4,926,1222,71%,50%,1157,c2,,
TIK-4,942,872,71%,53%,850,c1,yes,
TIK-4,942,872,71%,53%,850,c2,yes,
TIK-4,954,1363,71%,53%,1266,c1,yes,
TIK-4,954,1363,71%,53%,1266,c2,yes,
TIK-4,961,1559,71%,53%,1546,c1,yes,
TIK-4,961,1559,71%,53%,1546,c2,yes,
TIK-10,212,1455,71%,52%,1406,c1,yes,
TIK-10,212,1455,71%,52%,1406,c2,,
TIK-10,214,1479,71%,54%,1432,c1,yes,
TIK-10,214,1479,71%,54%,1432,c2,yes,
TIK-10,235,1458,71%,55%,1415,c1,yes,
TIK-10,235,1458,71%,55%,1415,c2,yes,
TIK-11,439,1435,71%,56%,1407,c1,yes,
TIK-11,439,1435,71%,56%,1407,c2,yes,
TIK-11,442,1359,71%,54%,1318,c1,yes,
TIK-11,442,1359,71%,54%,1318,c2,yes,
TIK-11,450,1469,71%,56%,1385,c1,yes,
TIK-11,450,1469,71%,56%,1385,c2,yes,
TIK-11,455,1428,71%,54%,1409,c1,,
TIK-11,455,1428,71%,54%,1409,c2,yes,
TIK-11,476,878,71%,52%,859,c1,yes,
TIK-11,476,878,71%,52%,859,c2,yes,
TIK-11,485,1446,71%,55%,1400,c1,yes,
TIK-11,485,1446,71%,55%,1400,c2,yes,
TIK-11,486,1938,71%,53%,1911,c1,,
TIK-11,486,1938,71%,53%,1911,c2,yes,
TIK-11,492,1400,71%,56%,1362,c1,yes,
TIK-11,492,1400,71%,56%,1362,c2,yes,
TIK-11,506,1817,71%,51%,1785,c1,yes,
TIK-11,506,1817,71%,51%,1785,c2,yes,
TIK-14,265,1428,71%,53%,1385,c1,yes,
TIK-14,265,1428,71%,53%,1385,c2,yes,
TIK-14,281,870,71%,54%,845,c1,yes,
TIK-14,281,870,71%,54%,845,c2,yes,
TIK-17,513,886,71%,51%,828,c1,yes,
TIK-17,513,886,71%,51%,828,c2,yes,
TIK-17,516,1479,71%,54%,1452,c1,yes,
TIK-17,516,1479,71%,54%,1452,c2,yes,
TIK-17,519,1396,71%,53%,1373,c1,,
TIK-17,519,1396,71%,53%,1373,c2,,
TIK-17,522,1473,71%,54%,1438,c1,yes,
TIK-17,522,1473,71%,54%,1438,c2,yes,
TIK-17,567,1272,71%,51%,1228,c1,,
TIK-17,567,1272,71%,51%,1228,c2,yes,
TIK-18,1626,741,71%,54%,728,c1,yes,
TIK-18,1626,741,71%,54%,728,c2,yes,
TIK-18,1629,958,71%,53%,945,c1,yes,
TIK-18,1629,958,71%,53%,945,c2,,
TIK-18,1630,1083,71%,51%,1026,c1,yes,
TIK-18,1630,1083,71%,51%,1026,c2,,
TIK-19,1312,964,71%,53%,941,c1,yes,
TIK-19,1312,964,71%,53%,941,c2,yes,
TIK-20,1996,2196,71%,53%,2166,c1,yes,
TIK-20,1996,2196,71%,53%,2166,c2,yes,
TIK-22,342,1330,71%,51%,1284,c1,yes,
TIK-22,342,1330,71%,51%,1284,c2,yes,
TIK-22,348,1289,71%,49%,1237,c1,,
TIK-22,348,1289,71%,49%,1237,c2,yes,
TIK-22,351,1034,71%,50%,989,c1,yes,
TIK-22,351,1034,71%,50%,989,c2,yes,
TIK-22,365,1083,71%,50%,1050,c1,yes,
TIK-22,365,1083,71%,50%,1050,c2,,
TIK-22,372,1902,71%,50%,1867,c1,yes,
TIK-22,372,1902,71%,50%,1867,c2,yes,
TIK-22,375,1885,71%,52%,1857,c1,yes,
TIK-22,375,1885,71%,52%,1857,c2,yes,
TIK-22,391,1459,71%,51%,1412,c1,yes,
TIK-22,391,1459,71%,51%,1412,c2,,
TIK-24,1560,1183,71%,47%,1031,c1,yes,
TIK-24,1560,1183,71%,47%,1031,c2,yes,
TIK-25,1013,1268,71%,55%,1137,c1,,
TIK-25,1013,1268,71%,55%,1137,c2,yes,
TIK-25,1027,1338,71%,53%,1304,c1,,
TIK-25,1027,1338,71%,53%,1304,c2,yes,
TIK-25,1028,880,71%,56%,854,c1,yes,
TIK-25,1028,880,71%,56%,854,c2,yes,
TIK-25,987,802,71%,55%,755,c1,,
TIK-25,987,802,71%,55%,755,c2,yes,
TIK-25,996,1475,71%,55%,1396,c1,yes,
TIK-25,996,1475,71%,55%,1396,c2,,
TIK-27,1373,728,71%,51%,710,c1,yes,
TIK-27,1373,728,71%,51%,710,c2,,
TIK-28,1919,1452,71%,57%,1407,c1,,
TIK-28,1919,1452,71%,57%,1407,c2,,
TIK-2,139,1126,70%,49%,1046,c1,,
TIK-2,139,1126,70%,49%,1046,c2,yes,
TIK-2,151,1362,70%,50%,1330,c1,,
TIK-2,151,1362,70%,50%,1330,c2,yes,
TIK-2,172,1405,70%,49%,1368,c1,yes,
TIK-2,172,1405,70%,49%,1368,c2,yes,
TIK-3,587,1212,70%,56%,1074,c1,,
TIK-3,587,1212,70%,56%,1074,c2,yes,
TIK-3,605,945,70%,52%,917,c1,yes,
TIK-3,605,945,70%,52%,917,c2,yes,
TIK-4,911,1092,70%,54%,1022,c1,,
TIK-4,911,1092,70%,54%,1022,c2,,
TIK-4,914,1103,70%,53%,1032,c1,yes,
TIK-4,914,1103,70%,53%,1032,c2,yes,
TIK-4,921,1348,70%,50%,1303,c1,yes,
TIK-4,921,1348,70%,50%,1303,c2,,
TIK-4,937,1387,70%,52%,1349,c1,yes,
TIK-4,937,1387,70%,52%,1349,c2,yes,
TIK-4,943,1323,70%,50%,1230,c1,yes,
TIK-4,943,1323,70%,50%,1230,c2,yes,
TIK-4,949,938,70%,51%,890,c1,,
TIK-4,949,938,70%,51%,890,c2,yes,
TIK-5,1443,1420,70%,52%,1389,c1,,
TIK-5,1443,1420,70%,52%,1389,c2,,
TIK-5,1517,1727,70%,50%,1715,c1,yes,
TIK-5,1517,1727,70%,50%,1715,c2,yes,
TIK-7,810,1709,70%,51%,1679,c1,yes,
TIK-7,810,1709,70%,51%,1679,c2,yes,
TIK-9,1809,951,70%,48%,930,c1,yes,
TIK-9,1809,951,70%,48%,930,c2,yes,
TIK-9,1831,1312,70%,53%,1253,c1,,
TIK-9,1831,1312,70%,53%,1253,c2,yes,
TIK-10,201,1040,70%,53%,1011,c1,yes,
TIK-10,201,1040,70%,53%,1011,c2,yes,
TIK-10,205,1305,70%,53%,1239,c1,yes,
TIK-10,205,1305,70%,53%,1239,c2,yes,
TIK-10,220,1304,70%,54%,1262,c1,yes,
TIK-10,220,1304,70%,54%,1262,c2,yes,
TIK-10,229,1438,70%,53%,1374,c1,yes,
TIK-10,229,1438,70%,53%,1374,c2,,
TIK-10,233,1191,70%,54%,1174,c1,yes,
TIK-10,233,1191,70%,54%,1174,c2,yes,
TIK-10,236,1285,70%,53%,1258,c1,yes,
TIK-10,236,1285,70%,53%,1258,c2,yes,
TIK-11,418,1385,70%,52%,1363,c1,yes,
TIK-11,418,1385,70%,52%,1363,c2,yes,
TIK-11,423,1313,70%,49%,1285,c1,yes,
TIK-11,423,1313,70%,49%,1285,c2,yes,
TIK-11,428,1350,70%,54%,1275,c1,yes,
TIK-11,428,1350,70%,54%,1275,c2,yes,
TIK-11,440,1850,70%,53%,1828,c1,,
TIK-11,440,1850,70%,53%,1828,c2,yes,
TIK-11,443,1380,70%,53%,1324,c1,yes,
TIK-11,443,1380,70%,53%,1324,c2,,
TIK-11,459,1614,70%,55%,1595,c1,yes,
TIK-11,459,1614,70%,55%,1595,c2,yes,
TIK-11,475,1550,70%,59%,1514,c1,yes,
TIK-11,475,1550,70%,59%,1514,c2,yes,
TIK-11,477,1863,70%,56%,1833,c1,yes,
TIK-11,477,1863,70%,56%,1833,c2,yes,
TIK-11,497,1188,70%,53%,1173,c1,yes,
